Time (UTC);Machine;Kind;EventID;NTLM version;Auth path;User;Domain;Process;Target;Source/Workstation;IP;Logon type;Encryption;Reason;Reason ID;MIC;Channel binding;Server OS;Kerberos failure;Process path
2026-08-30T18:30:00;DC01;policyblock;100;;Blocked;t0-admin;DEMO;;;PAW-01;;;;;;;;;0xC000006E;
2026-08-30T17:30:00;DC01;policywarn;301;;;t1-srvadmin;DEMO;;FS01;;;;;;;;;;;
2026-08-30T16:53:39;DC02;kerberos;4769;;;t.hoffmann@DEMO.NOPCAP.NET;DEMO;;TERMSRV/vdi-broker.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T16:45:22;DC01;kerberos;4769;;;VDI-037$@DEMO.NOPCAP.NET;DEMO;;ldap/dc02.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T16:44:45;DC01;kerberos;4769;;;NB-1357$@DEMO.NOPCAP.NET;DEMO;;ldap/dc02.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T16:41:22;DC01;kerberos;4769;;;VDI-068$@DEMO.NOPCAP.NET;DEMO;;HOST/app03.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T16:37:16;DC01;kerberos;4769;;;svc_web@DEMO.NOPCAP.NET;DEMO;;MSSQLSvc/sql01.demo.nopcap.net:1433;;;;RC4;;;;;;;
2026-08-30T16:35:50;DC02;kerberos;4769;;;a.klein@DEMO.NOPCAP.NET;DEMO;;HTTP/portal.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T16:30:00;WKS-0421;secblock;4010;;Blocked;;DEMO;java.exe;ERP-TEST;;;;;;;;;;;
2026-08-30T16:13:39;DC01;kerberos;4769;;;NB-1039$@DEMO.NOPCAP.NET;DEMO;;HOST/app03.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:58:57;WKS-0421;outgoing;4020;NTLMv2;Direct;a.klein;DEMO;explorer.exe;cifs/fs01.demo.nopcap.net;;;;;Application called NTLM directly;1;Unprotected;None;;;C:\Windows\explorer.exe
2026-08-30T15:56:29;DC01;kerberos;4769;;;WKS-0104$@DEMO.NOPCAP.NET;DEMO;;ldap/dc02.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:56:01;APP03;outgoing;8001;;;t.hoffmann;DEMO;msedge.exe;HTTP/intranet;;;;;;;;;;;C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2026-08-30T15:55:57;DC01;kerberos;4769;;;svc_web@DEMO.NOPCAP.NET;DEMO;;HOST/app03.demo.nopcap.net;;;;RC4;;;;;;;
2026-08-30T15:52:11;DC01;kerberos;4769;;;t.hoffmann@DEMO.NOPCAP.NET;DEMO;;HOST/app03.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:51:15;DC01;auth;4624;NTLMv2;Fallback;svc_monitor;DEMO;;;VDI-033;10.14.20.187;3;;;;;;;;
2026-08-30T15:49:33;DC01;auth;4624;NTLMv2;Direct;k.lorenz;DEMO;;;WKS-0540;10.14.22.19;3;;;;;;;;
2026-08-30T15:46:18;DC02;auth;4624;NTLMv2;Direct;s.wagner;DEMO;;;VDI-021;10.14.21.96;3;;;;;;;;
2026-08-30T15:41:54;DC01;kerberos;4769;;;VDI-019$@DEMO.NOPCAP.NET;DEMO;;TERMSRV/vdi-broker.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:38:39;DC01;kerberos;4769;;;WKS-0683$@DEMO.NOPCAP.NET;DEMO;;HTTP/portal.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:35:41;DC01;kerberos;4769;;;k.lorenz@DEMO.NOPCAP.NET;DEMO;;cifs/fs01.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:30:57;DC02;auth;4624;NTLMv2;Direct;m.becker;DEMO;;;WKS-0157;10.14.23.68;3;;;;;;;;
2026-08-30T15:28:30;DC02;kerberos;4769;;;p.neumann@DEMO.NOPCAP.NET;DEMO;;HOST/app03.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:25:40;DC01;kerberos;4769;;;VDI-011$@DEMO.NOPCAP.NET;DEMO;;HOST/app03.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:25:10;DC01;kerberos;4769;;;VDI-025$@DEMO.NOPCAP.NET;DEMO;;ldap/dc02.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:13:21;DC01;kerberos;4769;;;WKS-0298$@DEMO.NOPCAP.NET;DEMO;;HOST/app03.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T15:03:08;DC01;auth;4624;NTLMv2;Direct;s.wagner;DEMO;;;VDI-018;10.14.23.119;3;;;;;;;;
2026-08-30T15:01:40;FS01;outgoing;8001;;;svc_sql;DEMO;lsass.exe;cifs/nas01;;;;;;;;;;;C:\Windows\System32\lsass.exe
2026-08-30T14:50:31;DC01;kerberos;4769;;;a.klein@DEMO.NOPCAP.NET;DEMO;;ldap/dc02.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T14:46:56;DC01;auth;4624;NTLMv2;Direct;svc_backup;DEMO;;;VDI-032;10.14.22.160;3;;;;;;;;
2026-08-30T14:45:39;DC02;kerberos;4769;;;a.klein@DEMO.NOPCAP.NET;DEMO;;ldap/dc02.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T14:44:47;DC02;kerberos;4769;;;svc_sql@DEMO.NOPCAP.NET;DEMO;;MSSQLSvc/sql01.demo.nopcap.net:1433;;;;AES256;;;;;;;
2026-08-30T14:40:01;DC02;kerberos;4769;;;s.wagner@DEMO.NOPCAP.NET;DEMO;;HOST/app03.demo.nopcap.net;;;;AES256;;;;;;;
2026-08-30T14:23:36;DC01;kerberos;4769;;;j.schulz@DEMO.NOPCAP.NET;DEMO;;cifs/fs01.demo.nopcap.net;;;;AES256;;;;;;;
